artist,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,rating
Ariel Pink,Black Ballerina,0.00541,0.855,350827,0.652,0.00469,0,0.0629,-4.985,0,0.0596,112.001,0.912,3.62
Goldfrapp,Human,0.0246,0.627,276333,0.518,0.0033399999999999997,5,0.0561,-10.097999999999999,1,0.0354,127.77,0.23800000000000002,3.65
Regina Spektor,On the Radio,0.586,0.88,200413,0.413,0.000833,0,0.0693,-8.459,1,0.0462,101.991,0.44,3.65
Cowboy Junkies,Blue Moon Revisited,0.884,0.4970000000000001,268040,0.129,0.0455,0,0.11,-22.397,1,0.0301,110.72399999999999,0.209,3.65
R.E.M.,All the Way to Reno,0.026000000000000002,0.397,283960,0.809,4.44e-05,5,0.276,-4.11,1,0.0299,204.013,0.698,3.65
Eels,Mr. E's Beautiful Blues,0.17800000000000002,0.662,239240,0.682,0.00023199999999999997,7,0.335,-7.8329999999999975,1,0.0285,114.06700000000001,0.624,3.66
The Crickets,It's So Easy!,0.0798,0.622,129933,0.483,0.0,9,0.297,-11.767000000000001,1,0.0308,135.881,0.899,3.65
Mazzy Star,Five String Serenade,0.504,0.40700000000000003,264467,0.0926,0.127,7,0.11699999999999999,-20.77,1,0.0318,161.916,0.205,3.69
New Order,1963,0.004070000000000001,0.638,337813,0.925,0.163,8,0.0369,-6.9270000000000005,1,0.0315,125.613,0.904,3.73
Frankie Goes to Hollywood,Welcome to the Pleasuredome,0.128,0.665,820907,0.462,0.0157,11,0.649,-18.178,0,0.0391,113.205,0.518,3.59
Pabllo Vittar,Amor de que,0.0726,0.737,157929,0.8190000000000001,0.0,11,0.36,-5.056,0,0.0446,139.988,0.904,3.62
Go-Go's,We Got the Beat,0.155,0.5870000000000001,153133,0.9940000000000001,0.0734,2,0.0319,-5.61,1,0.045,151.941,0.48100000000000004,3.59
The Aquarian Age,"10,000 Words in a Cardboard Box",0.00674,0.303,207467,0.7040000000000001,0.24,4,0.132,-9.749,0,0.0498,170.87099999999995,0.562,3.75
Riverside,Loose Heart,0.00506,0.266,290520,0.8170000000000001,0.0045,7,0.107,-5.895,0,0.0529,153.755,0.314,3.7
Shalamar,A Night to Remember,0.0658,0.863,299360,0.738,0.000234,10,0.0969,-6.314,0,0.0428,108.851,0.9470000000000001,3.64
The Rolling Stones,Waiting on a Friend,0.157,0.606,274227,0.794,0.0406,0,0.568,-6.0420000000000025,1,0.0282,116.93,0.9109999999999999,3.66
Arlo Guthrie,The City of New Orleans,0.535,0.616,274507,0.5770000000000001,0.0,1,0.0808,-8.834,1,0.0407,145.863,0.5920000000000001,3.65
U2,Stay,0.18600000000000005,0.561,298427,0.51,0.0575,8,0.0674,-12.175,1,0.0258,94.079,0.7190000000000001,3.58
The Church,Columbus,0.00155,0.381,230733,0.8240000000000001,0.000691,4,0.0996,-5.337999999999999,0,0.0369,143.033,0.363,3.74
Injury Reserve,All This Money,0.0964,0.6890000000000001,197558,0.648,0.0,3,0.228,-5.181,0,0.408,184.122,0.501,3.65
Candi Staton,Young Hearts Run Free,0.13,0.653,248360,0.652,1.58e-05,7,0.20199999999999999,-9.304,0,0.0427,115.38799999999999,0.846,3.6
Jacques Brel,Jef,0.705,0.292,216067,0.327,0.0501,8,0.685,-16.452,1,0.0372,88.152,0.501,4.04
Fine Young Cannibals,Johnny Come Home,0.00898,0.775,211507,0.882,0.00024700000000000004,10,0.0628,-6.96,1,0.0458,133.62,0.963,3.61
The Jackson 5,The Love You Save,0.41100000000000003,0.755,181427,0.713,0.0,9,0.11800000000000001,-10.953,0,0.0513,113.656,0.946,3.6
Big L,Street Struck,0.142,0.773,249627,0.63,1.92e-06,9,0.237,-8.039,1,0.4320000000000001,173.922,0.677,3.65
"Blood, Sweat & Tears",Spinning Wheel,0.315,0.695,247267,0.503,2.47e-05,7,0.261,-9.312999999999999,1,0.0605,96.818,0.542,3.61
Tracy Chapman,Talkin' Bout a Revolution,0.32899999999999996,0.561,161600,0.732,0.00022799999999999999,7,0.0755,-6.178,1,0.0281,118.975,0.6709999999999999,3.59
Gil Scott-Heron,B Movie,0.456,0.865,731987,0.466,0.0114,7,0.0778,-12.776,1,0.154,95.56,0.825,3.78
Klaus Doldinger,Das Boot,0.0195,0.628,247000,0.841,0.7120000000000001,0,0.0761,-8.008,1,0.0293,136.026,0.207,3.9
Michael Jackson,Who Is It,0.0152,0.862,393307,0.595,0.000343,5,0.10400000000000001,-4.655,1,0.121,103.16799999999999,0.502,3.58
Bobby Wright,Blood of an American,0.953,0.39,260601,0.122,0.271,2,0.111,-18.781,1,0.0309,146.222,0.115,4.01
PJ Harvey,The Piano,0.855,0.551,156613,0.428,0.0756,2,0.191,-11.538,0,0.0294,124.991,0.479,3.67
