,artist,track,date,rating,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
179,Yo La Tengo,Ohm,30 July ,3.47,0.533,0.985,2,-5.355,1,0.0678,0.0793,0.671,0.209,0.632,111.588,407987
180,Chromatics,These Streets Will Never Look the Same,23 June ,3.51,0.676,0.889,4,-5.887,0,0.0368,0.00957,0.254,0.825,0.267,107.102,517001
181,Lebanon Hanover,Gallowdance,28 February ,3.37,0.705,0.766,8,-8.432,1,0.033,0.511,0.845,0.109,0.279,138.033,292600
182,Paramore,Daydreaming,2 December ,3.52,0.495,0.909,2,-5.575,1,0.0525,0.000542,0.000503,0.363,0.335,150.027,271027
183,No Joy,Hare Tarot Lies,2 April ,3.63,0.485,0.809,6,-5.827,1,0.0328,0.00201,0.796,0.138,0.658,120.003,206024
184,Lust for Youth,Chasing the Light,19 February ,3.47,0.56,0.911,9,-5.598,0,0.0482,0.295,0.0122,0.188,0.451,131.3,254273
185,These New Puritans,V,16 December ,3.66,0.321,0.548,11,-11.688,1,0.0271,0.168,0.103,0.149,0.0753,99.993,392960
186,John Grant,Glacier,25 November ,3.61,0.351,0.302,3,-10.524,1,0.0318,0.86,2.01e-05,0.149,0.0934,129.916,457547
187,San Fermin,Sonsick,14 May ,3.85,0.46,0.612,0,-5.856,1,0.0393,0.0209,0.00032,0.341,0.528,147.751,253427
188,The xx,Fiction,15 July ,3.33,0.786,0.362,7,-13.785,0,0.0373,0.695,0.408,0.0897,0.642,115.022,176480
189,Stunt Taylor,FeFe on the Block,25 July ,3.34,0.744,0.539,10,-6.757,1,0.0596,0.147,0.0,0.263,0.509,145.915,173213
190,SpaceGhostPurrp,Bringing the Phonk,13 June ,3.74,0.563,0.828,5,-4.965,1,0.0396,0.036,0.0,0.144,0.509,142.023,190520
191,M.I.A.,Come Walk With Me,3 September ,3.31,0.517,0.883,2,-3.716,1,0.0846,0.000549,0.0142,0.509,0.152,143.02,283507
192,The Fall,Sir William Wray,20 April ,3.51,0.36,0.9,0,-6.243,1,0.06,0.00453,0.831,0.0385,0.734,152.591,213227
193,Psychic Mirrors,Charlene,27 November ,3.62,0.681,0.729,7,-7.649,1,0.0647,0.00796,0.165,0.0577,0.871,110.994,290038
194,Kurt Vile,Air Bud,15 April ,3.63,0.605,0.892,4,-6.974,0,0.0326,0.0172,0.593,0.122,0.712,105.314,389680
195,BOKKA,Town of Strangers,14 October ,3.66,0.664,0.298,9,-10.933,0,0.0316,0.428,0.77,0.112,0.196,127.939,213376
196,The xx,Jamie xx Edits,20 April ,3.38,0.616,0.402,7,-16.566,0,0.0667,0.281,0.826,0.123,0.0631,120.956,331643
197,Metric,Synthetica,11 February ,3.42,0.366,0.867,0,-4.043,1,0.0378,4.91e-05,0.0062,0.103,0.215,158.967,234707
198,Lana Del Rey,Burning Desire,19 March ,3.25,0.482,0.648,7,-10.771,1,0.135,0.838,0.00655,0.128,0.147,131.861,227747
199,Katy Perry,Walking on Air,30 October ,3.24,0.631,0.908,6,-4.842,0,0.0391,0.00144,0.0,0.23,0.821,128.027,222449
200,Mala,Changes,10 May ,3.41,0.68,0.538,11,-11.363,0,0.0408,0.000689,0.83,0.0765,0.0994,139.007,410973
201,Hop Along,Sister Cities,5 June ,3.68,0.337,0.898,11,-6.315,1,0.0512,0.00455,0.0062,0.156,0.593,89.864,307903
202,MONO,Kanata,27 November ,3.42,0.212,0.516,0,-8.354,0,0.0318,0.741,0.868,0.123,0.135,176.039,381187
203,Julianna Barwick,Pacing,5 February ,3.39,0.214,0.181,7,-20.211,1,0.0354,0.982,0.934,0.0673,0.048,74.1,262421
204,Guided by Voices,Islands,5 March ,3.51,0.397,0.733,0,-7.652,1,0.0355,0.0438,0.000733,0.132,0.147,127.851,141533
205,Blank Banshee,Eco Zones,4 November ,3.69,0.422,0.719,8,-7.75,1,0.0577,0.46,0.114,0.168,0.298,87.82,144546
206,SOPHIE,Elle,16 June ,3.19,0.646,0.672,2,-8.685,1,0.0529,0.000914,0.568,0.188,0.176,119.885,224140
207,Melt Yourself Down,Fix My Life,25 February ,3.39,0.605,0.856,1,-6.264,1,0.0438,0.00436,0.669,0.63,0.727,115.077,242693
208,M83,Oblivion,26 March ,3.23,0.399,0.612,4,-7.814,0,0.0358,0.00317,0.33,0.127,0.0567,128.167,356674
209,Kishi Bashi,It All Began With a Burst,19 March ,3.67,0.569,0.669,5,-9.005,1,0.0425,0.104,0.000276,0.528,0.52,140.412,183592
210,Manic Street Preachers,Rewind the Film,8 July ,3.46,0.24,0.469,11,-9.785,0,0.0321,0.12,0.0017,0.165,0.277,182.267,396720
211,Neon Lights,Unceasing Atmosphere,8 April ,3.55,0.511,0.639,2,-5.825,1,0.0307,0.000117,0.332,0.0675,0.107,93.006,358067
212,Agnes Obel,Dorian,16 December ,3.75,0.622,0.245,6,-17.492,0,0.0343,0.961,0.231,0.102,0.185,122.973,286320
213,Bilderbuch,Maschin,17 October ,4.13,0.595,0.585,0,-4.686,1,0.0473,0.0129,4.3e-06,0.548,0.668,180.011,207947
214,Starset,My Demons,9 August ,3.55,0.274,0.652,5,-6.196,0,0.0625,0.00768,6.42e-05,0.108,0.1,173.009,288036
215,Princess Nokia,Versace Hottie,16 October ,3.37,0.775,0.562,11,-11.083,0,0.288,0.138,0.0557,0.673,0.661,124.031,194493
216,Dream Theater,The Enemy Inside,6 August ,3.2,0.488,0.976,4,-4.165,0,0.142,1.18e-05,0.0295,0.067,0.404,143.988,377373
217,Simple Minds,Broken Glass Park,2013,3.67,0.505,0.856,2,-6.043,1,0.0363,0.00285,4.2e-05,0.101,0.324,107.031,249027
218,Empress Of,Hat Trick,6 May ,3.72,0.303,0.622,7,-9.538,0,0.174,0.0118,0.000476,0.266,0.286,199.781,193791
219,Machinedrum,Eyesdontlie,29 July ,3.28,0.582,0.887,9,-7.896,1,0.0635,0.00232,0.872,0.0458,0.115,174.015,398717
220,Daughter,Still,29 January ,3.38,0.483,0.382,4,-12.947,0,0.0371,0.813,0.0389,0.105,0.15,115.021,212680
221,Open Mike Eagle,Qualifiers,27 August ,3.47,0.667,0.634,9,-10.541,1,0.271,0.312,0.0,0.0956,0.512,139.755,211409
222,Cash Cash,Overtime,8 October ,3.56,0.55,0.875,11,-0.755,0,0.3,0.0665,0.0,0.658,0.291,113.707,246447
223,J. Cole,Power Trip,15 February ,3.1,0.667,0.61,1,-7.054,1,0.217,0.322,0.000203,0.426,0.465,99.991,241160
224,Coldplay,Atlas,6 September ,3.13,0.28,0.45,11,-7.736,1,0.0292,0.634,0.698,0.105,0.105,136.385,236093
225,Jim James,A New Life,2013,3.69,0.329,0.386,5,-10.242,1,0.0515,0.83,0.00189,0.0764,0.333,169.596,268400
