track,artist,date,rating
b'White Rabbit / Plastic Fantastic Lover',b'Jefferson Airplane',24 June 1967 ,4.13
b'Mystery of Love',b'Sufjan Stevens',1 December 2017 ,4.14
"b""The House of the Rising Sun / Talkin' 'Bout You""",b'The Animals',19 June 1964 ,4.10
b'The Boy With the Thorn in His Side / Asleep',b'The Smiths',16 September 1985 ,4.13
"b""Time of the Season / I'll Call You Mine""",b'The Zombies',March 1968 ,4.14
"b'God Only Knows / Caroline, No'",b'The Beach Boys',1973,4.19
b'Paper Planes',b'M.I.A.',September 2008 ,4.11
,,,
b'Falling',b'Julee Cruise',1990,4.14
b'Hounds of Love / The Handsome Cabin Boy',b'Kate Bush',17 February 1986 ,4.15
"b""Superstition / You've Got It Bad Girl""",b'Stevie Wonder',November 1972 ,4.14
b'Born Under Punches (The Heat Goes On) / Cities (Live Version)',b'Talking Heads',1980,4.17
b'Someone Great',b'LCD Soundsystem',22 October 2007 ,4.11
b'Pyramids',b'Frank Ocean',8 June 2012 ,4.11
b'Comfortably Numb / Hey You',b'Pink Floyd',23 June 1980 ,4.08
,,,
b'Sympathy for the Devil / Prodigal Son',b'The Rolling Stones',February 1969 ,4.11
b'I Believe in You / John Cope',b'Talk Talk',September 1988 ,4.12
b'It Was a Good Day',b'Ice Cube',23 February 1993 ,4.11
b'Stand By Me / On the Horizon',b'Ben E. King',April 1961 ,4.11
b'Common People',b'Pulp',22 May 1995 ,4.08
b'Pagan Poetry',b'Bj\xc3\xb6rk',5 November 2001 ,4.13
b'Pyramid Song',b'Radiohead',21 May 2001 ,4.09
,,,
b'Outdoor Miner / Practice Makes Perfect',b'Wire',January 1979 ,4.12
b'The World Is Yours',b'Nas',31 May 1994 ,4.11
b'Hopp\xc3\xadpolla',b'Sigur R\xc3\xb3s',28 November 2005 ,4.11
b'Purple Rain / God',b'Prince and The Revolution',26 September 1984 ,4.10
b'Born to Run / Meeting Across the River',b'Bruce Springsteen',August 1975 ,4.10
b'Temptation / Hurt',b'New Order',April 1982 ,4.12
b'Waltz #2 (XO)',b'Elliott Smith',21 September 1998 ,4.13
,,,
b'Wake Up',b'Arcade Fire',14 November 2005 ,4.07
b'Space Song',b'Beach House',2015,4.13
b'Bigmouth Strikes Again / Money Changes Everything',b'The Smiths',22 May 1986 ,4.11
b'Oblivion',b'Grimes',20 February 2012 ,4.07
b'Paperback Writer / Rain',b'The Beatles',30 May 1966 ,4.08
,,,
,,,
b'Lullaby / Babble',b'The Cure',4 April 1989 ,4.11
"b""I Want You Back / Who's Lovin You""",b'The Jackson 5',7 October 1969 ,4.09
b'The National Anthem',b'Radiohead',2000,4.12
b'Bachelorette',b'Bj\xc3\xb6rk',15 December 1997 ,4.12
"b""Let's Stay Together / Tomorrow's Dream""",b'Al Green',December 1971 ,4.11
"b'William, It Was Really Nothing / Please Please Please Let Me Get What I Want'",b'The Smiths',20 August 1984 ,4.10
b'I Only Have Eyes for You / Goodnight Sweetheart',b'The Flamingos',April 1959 ,4.10
,,,
b'Station to Station / TVC 15',b'David Bowie',1976,4.15
b'Das Model / Neonlicht',b'Kraftwerk',1978,4.11
"b""Let's Go Crazy / Erotic City""",b'Prince and The Revolution',18 July 1984 ,4.11
b'Eight Miles High / Why?',b'The Byrds',14 March 1966 ,4.08
b'Run Away With Me',b'Carly Rae Jepsen',17 July 2015 ,4.05
b'King Kunta',b'Kendrick Lamar',11 May 2015 ,4.09
"b'Never Let Me Down Again / Pleasure, Little Treasure.'",b'Depeche Mode',24 August 1987 ,4.11
,,,
b'River Man',b'Nick Drake',6 September 2004 ,4.13
b'Fake Plastic Trees',b'Radiohead',15 May 1995 ,4.06
b'Lovesong / 2 Late',b'The Cure',19 August 1989 ,4.10
b'Disintegration / Plainsong',b'The Cure',1989,4.21
b'Miserlou / Eight Till Midnight',b'Dick Dale and The Del-Tones',April 1962 ,4.10
b'Monkey Gone to Heaven / Manta Ray',b'Pixies',20 March 1989 ,4.09
"b""Reach Out I'll Be There / Until You Love Someone""",b'Four Tops',18 August 1966 ,4.10
,,,
b'\xe3\x83\x8a\xe3\x82\xa4\xe3\x83\x88\xe3\x82\xaf\xe3\x83\xab\xe3\x83\xbc\xe3\x82\xb8\xe3\x83\xb3\xe3\x82\xb0 (Night Cruising)',b'Fishmans',25 November 1995 ,4.15
b'The Boxer / Baby Driver',b'Simon & Garfunkel',21 March 1969 ,4.10
b'Hey Jude / Revolution',b'The Beatles',30 August 1968 ,4.03
b'The Moon',b'The Microphones',2001,4.12
b'Dreams / Songbird',b'Fleetwood Mac',24 March 1977 ,4.09
b'The Village Green Preservation Society / Do You Remember Walter?',b'The Kinks',30 July 1969 ,4.11
"b'Hello, Goodbye / I Am the Walrus'",b'The Beatles',24 November 1967 ,4.07
,,,
"b""Jumpin' Jack Flash / Child of the Moon""",b'The Rolling Stones',24 May 1968 ,4.08
"b'Tangled Up in Blue / If You See Her, Say Hello'",b'Bob Dylan',25 February 1975 ,4.08
b'Should Have Known Better',b'Sufjan Stevens',12 March 2015 ,4.10
"b""She's a Rainbow / 2000 Light Years From Home""",b'The Rolling Stones',23 December 1967 ,4.06
b'All Is Full of Love',b'Bj\xc3\xb6rk',31 May 1999 ,4.12
b'See Emily Play / Scarecrow',b'The Pink Floyd',16 June 1967 ,4.07
b'Light My Fire / The Crystal Ship',b'The Doors',May 1967 ,4.07
,,,
"b""I've Seen Footage""",b'Death Grips',2012,4.08
b'Search and Destroy / Penetration',b'Iggy and The Stooges',June 1973 ,4.11
"b""93 'Til Infinity / Disseshowedo""",b'Souls of Mischief',7 September 1993 ,4.11
b'Under the Milky Way / Warm Spell / Musk',b'The Church',February 1988 ,4.08
b'Golden Brown / Love 30',b'The Stranglers',10 January 1982 ,4.09
,,,
,,,
"b""Bela Lugosi's Dead / Boys""",b'Bauhaus',6 August 1979 ,4.03
b'The Chain / Go Your Own Way',b'Fleetwood Mac',April 1977 ,4.11
b'Airbag',b'Radiohead',24 March 1998 ,4.12
b'Dream House',b'Deafheaven',2 May 2013 ,4.08
"b""So Long, Marianne / Hey, That's No Way to Say Goodbye""",b'Leonard Cohen',1968,4.11
b'Living for the City / Visions',b'Stevie Wonder',November 1973 ,4.11
b'Johnny B. Goode / Around and Around',b'Chuck Berry',31 March 1958 ,4.06
,,,
b'September Gurls / Mod Lang',b'Big Star',May 1974 ,4.12
b'Damaged Goods / Love Like Anthrax / Armalite Rifle',b'Gang of Four',12 October 1978 ,4.11
b'Soon / Glider',b'My Bloody Valentine',April 1990 ,4.09
b'Hey Ya!',b'OutKast',27 October 2003 ,4.03
b'Fireworks',b'Animal Collective',5 November 2007 ,4.05
b'Gold Soundz',b'Pavement',19 June 1994 ,4.08
"b""You Really Got Me / It's All Right""",b'The Kinks',4 August 1964 ,4.06
,,,
b'Hallogallo',b'NEU!',1973,4.11
"b'The Good, the Bad and the Ugly'",b'Ennio Morricone',1975,4.12
"b""Heaven Knows I'm Miserable Now / Suffer Little Children""",b'The Smiths',21 May 1984 ,4.07
b'Would?',b'Alice in Chains',1992,4.06
b'Sleep Walk / All Night Diner',b'Santo & Johnny',July 1959 ,4.05
b'Fortunate Son / Down on the Corner',b'Creedence Clearwater Revival',19 September 1969 ,4.06
"b""What'd I Say (Part 1) / What'd I Say (Part 2)""",b'Ray Charles',June 1959 ,4.08
,,,
b'Nights in White Satin / Cities',b'The Moody Blues',10 November 1967 ,4.06
b'A Whiter Shade of Pale / Lime Street Blues',b'Procol Harum',12 May 1967 ,4.06
b'Runaway / Jody',b'Del Shannon',February 1961 ,4.10
b'Everybody Wants to Rule the World / Pharaohs',b'Tears for Fears',18 March 1985 ,4.07
b'Heart of Glass / Rifle Range',b'Blondie',January 1979 ,4.07
b'One Hundred Years / The Hanging Garden',b'The Cure',1982,4.12
b'My Favorite Things (Parts I & II)',b'John Coltrane',April 1961 ,4.10
,,,
"b""I Feel Love / Can't We Just Sit Down (And Talk It Over)""",b'Donna Summer',July 1977 ,4.04
b'These Walls',b'Kendrick Lamar',13 October 2015 ,4.09
b'The Mercy Seat / New Day',b'Nick Cave & The Bad Seeds',23 May 1988 ,4.06
b'New Grass',b'Talk Talk',September 1991 ,4.09
b'Here Comes Your Man / Into the White',b'Pixies',19 June 1989 ,4.07
b'Power',b'Kanye West',28 May 2010 ,4.03
b'Master of Puppets / Welcome Home (Sanitarium)',b'Metallica',2 July 1986 ,4.05
,,,
b'Heroes - Helden / Heroes - H\xc3\xa9ros',b'David Bowie',1982,4.14
b'Sweet Jane / Rock and Roll',b'The Velvet Underground Featuring Lou Reed',August 1973 ,4.07
b'Rebel Rebel / Queen Bitch',b'Bowie',15 February 1974 ,4.08
"b'Prelude to Panopticon: ""On Doing an Evil Deed Blues""'",b'Lil Ugly Mane',30 August 2013 ,4.03
b'Changes / Andy Warhol',b'David Bowie',7 January 1972 ,4.08
,,,
,,,
b'Hurt / Personal Jesus',b'Johnny Cash',March 2003 ,4.03
"b""My Sweet Lord / Isn't It a Pity""",b'George Harrison',23 November 1970 ,4.05
"b""(Don't Fear) The Reaper / Tattoo Vampire""",b'Blue \xc3\x96yster Cult',June 1976 ,4.06
"b""Suspended in Gaffa / Ne t'en fui pas""",b'Kate Bush',2 November 1982 ,4.07
b'Merry Christmas Mr. Lawrence / Sowing the Seed',b'Ryuichi Sakamoto',1983,4.15
b'Trans-Europe Express / Europe Endless',b'Kraftwerk',1977,4.07
b'Neighborhood #3 (Power Out)',b'Arcade Fire',23 May 2005 ,4.07
,,,
b'Just Like Honey / Head',b'The Jesus and Mary Chain',September 1985 ,4.06
b'What a Wonderful World / Cabaret',b'Louis Armstrong',October 1967 ,4.02
b'Alright',b'Kendrick Lamar',30 June 2015 ,4.03
b'All I Need',b'Radiohead',5 January 2009 ,4.06
b'Angel',b'Massive Attack',13 July 1998 ,4.12
b'The Rat',b'The Walkmen',19 April 2004 ,4.07
"b""Life's a Bitch""",b'Nas',19 April 1994 ,4.04
,,,
"b""I'm Waiting for the Man / There She Goes Again""","b""Andy Warhol's Velvet Underground""",October 1971 ,4.06
"b'Hey Hey, My My (Into the Black) / My My, Hey Hey (Out of the Blue)'",b'Neil Young',27 August 1979 ,4.09
b'Mannequin / Feeling Called Love / 1 2 X U',b'Wire',November 1977 ,4.09
"b""It Ain't Hard to Tell""",b'Nas',18 January 1994 ,4.08
b'Inner City Blues (Make Me Wanna Holler) / Wholy Holy',b'Marvin Gaye',16 September 1971 ,4.08
"b""Papa Was a Rollin' Stone / Papa Was a Rollin' Stone (Instrumental)""",b'The Temptations',28 September 1972 ,4.06
b'Everyday Is Like Sunday / Disappointed',b'Morrissey',30 May 1988 ,4.05
,,,
b'Hard to Explain',b'The Strokes',25 June 2001 ,4.07
b'Hidden Place',b'Bj\xc3\xb6rk',3 August 2001 ,4.08
b'Subterranean Homesick Blues / She Belongs to Me',b'Bob Dylan',8 March 1965 ,4.05
"b""Dark Was the Night - Cold Was the Ground / It's Nobody's Fault but Mine""",b'Blind Willie Johnson',April 1928 ,4.04
b'Higher Ground / Too High',b'Stevie Wonder',July 1973 ,4.07
b'Radioaktivit\xc3\xa4t / Antenne',b'Kraftwerk',1976,4.08
b'The Ecstasy of Gold',b'Ennio Morricone',28 June 2013 ,4.27
,,,
b'Blackstar',b'David Bowie',21 November 2015 ,4.02
b'Bodys',b'Car Seat Headrest',2011,4.09
b'Motorcycle Emptiness',b'Manic Street Preachers',1 June 1992 ,4.05
b'Purple Haze / 51st Anniversary',b'Jimi Hendrix Experience',17 March 1967 ,4.05
"b'Ghost Town / Why? / Friday Night, Saturday Morning'",b'The Specials',20 June 1981 ,4.04
b'Golden Slumbers/Carry That Weight / Here Comes the Sun',b'The Beatles',1969,4.24
b'After the Flood [plus box]',b'Talk Talk',September 1991 ,4.09
,,,
b'Award Tour',b'A Tribe Called Quest',2 November 1993 ,4.09
b'Roadrunner / Pablo Picasso',b'The Modern Lovers',1976,4.05
"b""Raspberry Beret / She's Always in My Hair""",b'Prince and The Revolution',15 May 1985 ,4.04
b'All Caps / Curls',b'Madvillain',2004,4.07
b'What Difference Does It Make? / Back to the Old House',b'The Smiths',20 January 1984 ,4.05
,,,
,,,
b'Layla / Bell Bottom Blues',b'Derek and The Dominos',July 1971 ,4.03
"b'Sing, Sing, Sing (Parts 1 & 2)'",b'Benny Goodman and His Orchestra',September 1937 ,4.03
b'Music Sounds Better With You',b'Stardust',27 July 1998 ,4.00
b'Jigsaw Falling Into Place',b'Radiohead',14 January 2008 ,4.04
"b""Boys Don't Cry / Plastic Passion""",b'The Cure',12 June 1979 ,4.05
b'Smells Like Teen Spirit',b'Nirvana',9 September 1991 ,3.99
b'Fools Gold',b'The Stone Roses',November 1989 ,4.06
,,,
b'Juicy / Unbelievable',b'The Notorious BIG',8 August 1994 ,4.03
b'Fairytale of New York / The Battle March Medley',b'The Pogues',23 November 1987 ,4.03
b'Shangrila / This Man He Weeps Tonight',b'The Kinks',12 September 1969 ,4.06
"b""You Can't Hurry Love / Put Yourself in My Place""",b'The Supremes',25 July 1966 ,4.05
b'Archangel',b'Burial',2007,4.05
b'Old Man / The Needle and the Damage Done',b'Neil Young',17 April 1972 ,4.06
b'Luv(sic) Part 3',b'Nujabes',11 March 2015 ,4.15
,,,
"b""Let's Spend the Night Together / Ruby Tuesday""",b'The Rolling Stones',13 January 1967 ,4.01
b'Enola Gay / Annex',b'Orchestral Manoeuvres in the Dark',26 September 1980 ,4.05
b'This Is the Day / Mental Health Process',b'The The',2 September 1983 ,4.07
"b""Swamp Thing / John, I'm Only Dancing""",b'The Chameleons',September 1986 ,4.09
b'Heart of Gold / Sugar Mountain',b'Neil Young',17 January 1972 ,4.05
b'Mercy Mercy Me (The Ecology) / Sad Tomorrows',b'Marvin Gaye',10 June 1971 ,4.08
b'Venice Bitch',b'Lana Del Rey',18 September 2018 ,4.01
,,,
b'Windowlicker',b'Aphex Twin',22 March 1999 ,3.89
"b""September / Love's Holiday""","b'Earth, Wind & Fire'",18 November 1978 ,4.06
b'Daydreaming',b'Radiohead',6 May 2016 ,4.03
b'Andromeda',b'Weyes Blood',17 January 2019 ,4.05
b'I Put a Spell on You / Little Demon',"b""Screamin' Jay Hawkins""",October 1956 ,4.04
b'To Here Knows When / Swallow',b'My Bloody Valentine',4 February 1991 ,4.04
b'Luchini AKA This Is It / Swing',b'Camp Lo',29 October 1996 ,4.04
,,,
"b""Blowin' in the Wind / Don't Think Twice, It's All Right""",b'Bob Dylan',August 1963 ,4.03
b'Northern Sky',b'Nick Drake',1993,4.10
b'Sour Times',b'Portishead',1 August 1994 ,4.05
"b""Don't Be Cruel / Hound Dog""",b'Elvis Presley',12 July 1956 ,4.01
b'In Dreams / Shahdaroba',b'Roy Orbison',February 1963 ,4.04
b'Race for the Prize',b'The Flaming Lips',14 June 1999 ,4.04
"b""Sir Duke / He's Misstra Know-It-All""",b'Stevie Wonder',22 March 1977 ,4.05
,,,
b'NYC',b'Interpol',20 September 2002 ,4.14
"b""Are 'Friends' Electric? /  We Are So Fragile""",b'Tubeway Army',19 May 1979 ,4.05
b'Break On Through (To the Other Side) / End of the Night',b'The Doors',January 1967 ,4.03
b'Some Velvet Morning / Oh Lonesome Me',b'Nancy Sinatra & Lee Hazlewood',December 1967 ,4.03
b'What Is Life / Apple Scruffs',b'George Harrison',15 February 1971 ,4.06
,,,
,,,
b'SpottieOttieDopaliscious',b'OutKast',1998,4.07
b'Close to Me / A Man Inside My Mouth',b'The Cure',17 September 1985 ,4.05
b'Heart-Shaped Box',b'Nirvana',30 August 1993 ,4.02
b'Positively 4th Street / From a Buick 6',b'Bob Dylan',7 September 1965 ,4.05
b'Machine Gun',b'Portishead',14 April 2008 ,4.03
"b""Smoke Stack Lightning / You Can't Be Beat""","b""Howlin' Wolf""",February 1956 ,4.08
"b""Ain't No Mountain High Enough / Give a Little Love""",b'Marvin Gaye & Tammi Terrell',20 April 1967 ,4.05
,,,
b'Never Catch Me',b'Flying Lotus',3 September 2014 ,4.04
"b""Heroes and Villains / You're Welcome""",b'The Beach Boys',31 July 1967 ,4.05
"b""Rock 'n' Roll Suicide / Quicksand""",b'Bowie',April 1974 ,4.04
b'Chanel',b'Frank Ocean',10 March 2017 ,4.02
"b""Here Comes the Sun / Octopus's Garden""",b'The Beatles',March 1994 ,4.04
"b""She's Lost Control / Dead Souls""",b'Joy Division',2007,4.19
b'The Diamond Sea',b'Sonic Youth',1995,4.04
,,,
b'Optimistic',b'Radiohead',18 September 2000 ,4.03
b'Gloria / My Generation [live]',b'Patti Smith Group',13 April 1976 ,4.03
b'Riders on the Storm / Changeling',b'The Doors',July 1971 ,4.02
b'Radio Free Europe / Sitting Still',b'R.E.M.',8 July 1981 ,4.04
b'Maps',b'Yeah Yeah Yeahs',22 September 2003 ,4.03
b'Hurricane (Part I) / Hurricane (Part II)',b'Bob Dylan',21 November 1975 ,4.02
b'Map Ref. 41\xc2\xb0N 93\xc2\xb0W / Go Ahead',b'Wire',November 1979 ,4.04
,,,
b'West End Girls / A Man Could Get Arrested',b'Pet Shop Boys',28 October 1985 ,4.03
b'Ocean Man',b'Ween',1997,4.06
b'REALiTi',b'Grimes',12 March 2015 ,3.99
b'Home Is Where the Hatred Is / The Revolution Will Not Be Televised',b'Gil Scott-Heron with Pretty Purdie and the Playboys',1971,4.05
"b""Life's What You Make It / It's Getting Late in the Evening""",b'Talk Talk',1985,4.03
b'You Made Me Realise / Slow',b'My Bloody Valentine',8 August 1988 ,4.05
b'Hung Up on a Dream / A Rose for Emily',b'The Zombies',1969,4.17
,,,
b'Electric Relaxation (Relax Yourself Girl)',b'A Tribe Called Quest',28 February 1994 ,4.06
b'Flashing Lights',b'Kanye West',12 November 2007 ,4.02
b'At Last / I Just Want to Make Love to You',b'Etta James',January 1961 ,4.04
