track,artist,date,rating
b'Funeral for a Friend / Love Lies Bleeding / We All Fall in Love Sometimes / Curtains',b'Elton John',16 September 1978 ,3.95
b'Long Promised Road / Deirdre',b'The Beach Boys',May 1971 ,3.88
"b""Talkin' About the Good Times / Walking Through My Dreams""",b'The Pretty Things',February 1968 ,3.88
b'A Night Like This',b'The Cure',1 July 1985 ,3.92
b'B\xc3\xaasta \xc3\xa9 Tu / A Menina Dan\xc3\xa7a',b'Os Novos Bahianos',1972,4.00
,,,
,,,
"b""You're All I Need to Get By / Two Can Have a Party""",b'Marvin Gaye & Tammi Terrell',9 July 1968 ,3.90
b'Razzmatazz',b'Pulp',15 February 1993 ,3.90
"b""Couldn't I Just Tell You / Wolfman Jack""",b'Todd Rundgren',19 July 1972 ,3.84
b'Tried and True / Mountains and Buffalo',b'Ween',2003,3.98
b'Stakes Is High',b'De La Soul',21 November 1996 ,3.89
b'Pictures of You / From Out of Nowhere',b'The Cure',1989,3.97
"b""I'm a King Bee / I Got Love If You Want It""",b'Slim Harpo',July 1957 ,3.90
,,,
b'Regular John',b'Queens of the Stone Age',2011,4.13
b'Cherry Ball Blues / Hard Time Killing Floor Blues',b'Skip James',March 1931 ,3.89
b'A Song From Under the Floorboards / Twenty Years Ago',b'Magazine',8 February 1980 ,3.88
"b""Susie-Q / Don't Treat Me This Way""",b'Dale Hawkins',6 May 1957 ,3.87
"b'Sail On, Sailor / Only With You'",b'The Beach Boys',10 March 1973 ,3.88
b'Make Me Smile (Come Up and See Me) / Another Journey',b'Steve Harley',February 1975 ,3.84
b'Eyesore',b'Women',2010,4.38
,,,
b'In My Room / Help Me Rhonda',b'The Beach Boys',1971,3.97
"b""I Ain't No Miracle Worker / Don't Shoot Me Down""",b'The Brogues',November 1965 ,3.87
"b""'Round About Midnight / Well You Needn't""",b'The Thelonious Monk Quintet',1948,3.88
b'XS',b'Rina Sawayama',2 March 2020 ,3.90
"b""Mood Indigo / When a Black Man's Blue""",b'Duke Ellington and His Cotton Club Orchestra',23 January 1931 ,3.83
"b""Goin' Out West""",b'Tom Waits',1992,3.90
"b""She's the One / I Wanna Be Sedated""",b'Ramones',January 1979 ,3.88
,,,
b'Something on Your Mind',b'Karen Dalton',20 November 2006 ,3.93
b'Blind Willie McTell',b'Bob Dylan',1991,3.92
b'The Host of Seraphim',b'Dead Can Dance',1993,3.80
b'(Not Just) Knee Deep / One Nation Under a Groove',b'Funkadelic',1979,3.89
b'Stars',b'Hum',1995,3.90
b'Lo Boob Oscilator / Tempter',b'Stereolab',1 September 1993 ,3.89
